,Unnamed: 0,Date,Country,Activity,Hemispheres,Months,Activities
4006,4006,Apr-1960,SOUTH AFRICA,Fishing,Hemisphere-S,apr,fishing
4009,4009,29-Feb-1960,AUSTRALIA,"Wading, fishing for flounder",Hemisphere-S,feb,fishing
4010,4010,27-Feb-1960,NEW ZEALAND,Spearfishing,Hemisphere-S,feb,spearfishing
4011,4011,27-Feb-1960,USA,Spearfishing,Hemisphere-N,feb,spearfishing
4013,4013,19-Feb-1960,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,feb,spearfishing
4014,4014,10-Feb-1960,AUSTRALIA,Shark fishing,Hemisphere-S,feb,fishing
4015,4015,07-Feb-1960,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
4021,4021,13-Jan-1960,AUSTRALIA,"Fishing, lifting shark out of craypot",Hemisphere-S,jan,fishing
4035,4035,28-Dec-1959,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
4036,4036,26-Dec-1959,PAPUA NEW GUINEA,Swimming underneath house on pilings,Hemisphere-S,dec,swimming
4039,4039,11-Dec-1959,AUSTRALIA,"Spearfishing, Smith  & Walker touched shark with tip of their guns",Hemisphere-S,dec,spearfishing
4040,4040,07-Dec-1959,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
4041,4041,03-Dec-1959,NEW ZEALAND,Fishing for snapper,Hemisphere-S,dec,fishing
4043,4043,29-Nov-1959,AUSTRALIA,Body surfing,Hemisphere-S,nov,surfing
4047,4047,15-Nov-1959,SOUTH AFRICA,Fishing for tunny,Hemisphere-S,nov,fishing
4049,4049,10-Nov-1959,USA,Swimming at surface through school of feeding 2.5' to 5â sharks,Hemisphere-N,nov,swimming
4050,4050,09-Nov-1959,AUSTRALIA,"Spearfishing, shot shark, hauled it onto boat",Hemisphere-S,nov,spearfishing
4051,4051,01-Nov-1959,PAPUA NEW GUINEA,Fishing,Hemisphere-S,nov,fishing
4066,4066,30-Aug-1959,AUSTRALIA,Swimming,Hemisphere-S,aug,swimming
4070,4070,15-Aug-1959,USA,Spearfishing on Scuba,Hemisphere-N,aug,spearfishing
4071,4071,14-Aug-1959,USA,Fishing,Hemisphere-N,aug,fishing
4073,4073,13-Aug-1959,USA,"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ideâs speargun & he shot it in the mouth",Hemisphere-N,aug,spearfishing
4080,4080,28-Jul-1959,USA,Spearfishing (but on surface),Hemisphere-N,jul,spearfishing
4083,4083,23-Jul-1959,USA,Fishing,Hemisphere-N,jul,fishing
4092,4092,13-Jun-1959,USA,Swimming ,Hemisphere-N,jun,swimming
4093,4093,30-May-1959,SOUTH AFRICA,Spearfishing,Hemisphere-S,may,spearfishing
4096,4096,03-May-1959,USA,Spearfishing,Hemisphere-N,may,spearfishing
4098,4098,27-Apr-1959,AUSTRALIA,Spearfishing,Hemisphere-S,apr,spearfishing
4100,4100,09-Apr-1959,USA,Fishing,Hemisphere-N,apr,fishing
4101,4101,09-Apr-1959,SOUTH AFRICA,Fishing,Hemisphere-S,apr,fishing
4102,4102,05-Apr-1959,AUSTRALIA,Spearfishing,Hemisphere-S,apr,spearfishing
4103,4103,29-Mar-1959,USA,Swimming,Hemisphere-N,mar,swimming
4106,4106,28-Feb-1959,AUSTRALIA,Fishing for snapper,Hemisphere-S,feb,fishing
4108,4108,16-Feb-1959,PAPUA NEW GUINEA,Fishing,Hemisphere-S,feb,fishing
4113,4113,25-Jan-1959,AUSTRALIA,Swimming with motor tube,Hemisphere-S,jan,swimming
4115,4115,17-Jan-1959,AUSTRALIA,"Surfing, but treading water",Hemisphere-S,jan,surfing
4116,4116,15-Jan-1959,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
4119,4119,Jan-1959,AUSTRALIA,Spearfishing / free diving,Hemisphere-S,jan,spearfishing
4129,4129,23-Dec-1958,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
4130,4130,13-Dec-1958,USA,Surfing on air mattress,Hemisphere-N,dec,surfing
4132,4132,23-Nov-1958,AUSTRALIA,Swimming,Hemisphere-S,nov,swimming
4133,4133,14-Nov-1958,SOUTH AFRICA,Fishing,Hemisphere-S,nov,fishing
4135,4135,05-Nov-1958,USA,Fishing,Hemisphere-N,nov,fishing
4136,4136,12-Oct-1958,USA,Swimming near jetty,Hemisphere-N,oct,swimming
4142,4142,01-Sep-1958,USA,Spearfishing,Hemisphere-N,sep,spearfishing
4146,4146,27-Jul-1958,USA,"Swimming, ducking for shells in water 0.9 m deep",Hemisphere-N,jul,swimming
4147,4147,27-Jul-1958,USA,"Swimming, ducking for shells in water 0.9 m deep",Hemisphere-N,jul,swimming
4153,4153,01-Jul-1958,PAPUA NEW GUINEA,Swimming,Hemisphere-S,jul,swimming
4158,4158,17-Jun-1958,USA,"Swimming, towing the shark",Hemisphere-N,jun,swimming
4159,4159,15-Jun-1958,AUSTRALIA,Swimming,Hemisphere-S,jun,swimming
4164,4164,03-Apr-1958,SOUTH AFRICA,Swimming with goggles,Hemisphere-S,apr,swimming
4165,4165,Apr-1958,PAPUA NEW GUINEA,"Fishing, holding fish in his left hand",Hemisphere-S,apr,fishing
4166,4166,19-Feb-1958,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
4167,4167,01-Feb-1958,USA,Spearfishing on Scuba,Hemisphere-N,feb,spearfishing
4168,4168,27-Jan-1958,AUSTRALIA,Spearfishing / swimming on surface,Hemisphere-S,jan,swimming
4169,4169,19-Jan-1958,AUSTRALIA,Body surfing,Hemisphere-S,jan,surfing
4171,4171,09-Jan-1958,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
4181,4181,31-Dec-1957,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
4186,4186,18-Dec-1957,SOUTH AFRICA,Body surfing,Hemisphere-S,dec,surfing
4193,4193,24-Jul-1957,USA,Spearfishing on Scuba,Hemisphere-N,jul,spearfishing
4194,4194,15-Jul-1957,USA,Swimming,Hemisphere-N,jul,swimming
4197,4197,11-May-1957,AUSTRALIA,Competing in spearfishing championship & towing dead fish,Hemisphere-S,may,spearfishing
4200,4200,28-Apr-1957,USA,Swimming,Hemisphere-N,apr,swimming
4201,4201,23-Apr-1957,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
4203,4203,13-Apr-1957,AUSTRALIA,Swimming between  anchored  pearling luggers,Hemisphere-S,apr,swimming
4222,4222,26-Dec-1956,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,dec,spearfishing
4223,4223,24-Dec-1956,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,dec,spearfishing
4225,4225,09-Dec-1956,NEW ZEALAND,Fishing,Hemisphere-S,dec,fishing
4227,4227,20-Oct-1956,PAPUA NEW GUINEA,"Spearfishing, holding 5' speared fish",Hemisphere-S,oct,spearfishing
4229,4229,Oct-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,oct,fishing
4230,4230,23-Sep-1956,USA,Surf fishing,Hemisphere-N,sep,fishing
4234,4234,25-Aug-1956,PAPUA NEW GUINEA,Fishing ,Hemisphere-S,aug,fishing
4235,4235,20-Aug-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,aug,fishing
4238,4238,15-Aug-1956,USA,Swimming near pier,Hemisphere-N,aug,swimming
4243,4243,Aug-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,aug,fishing
4244,4244,Aug-1956,PAPUA NEW GUINEA,Fishing,Hemisphere-S,aug,fishing
4246,4246,26-Jul-1956,USA,Fishing,Hemisphere-N,jul,fishing
4249,4249,12-Jul-1956,USA,Swimming,Hemisphere-N,jul,swimming
4250,4250,28-Jun-1956,AUSTRALIA,"Line fishing from Lakotoi, saw shoal of fish, dived overboard, had speared second fish & surfaced for air",Hemisphere-S,jun,fishing
4257,4257,11-Mar-1956,AUSTRALIA,Bathing,Hemisphere-S,mar,bathing
4258,4258,04-Mar-1956,AUSTRALIA,"Swimming, attacked at  surf carnival",Hemisphere-S,mar,swimming
4274,4274,11-Dec-1955,USA,Fishing for pompano,Hemisphere-N,dec,fishing
4275,4275,16-Nov-1955,PAPUA NEW GUINEA,Swimming,Hemisphere-S,nov,swimming
4276,4276,Nov-1955,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,nov,spearfishing
4277,4277,16-Oct-1955,AUSTRALIA,Spearfishing & lassoed shark,Hemisphere-S,oct,spearfishing
4281,4281,04-Sep-1955,USA,Swimming near breakwater,Hemisphere-N,sep,swimming
4284,4284,30-Aug-1955,USA,Surfing,Hemisphere-N,aug,surfing
4289,4289,Aug-1955,AUSTRALIA,Fishing,Hemisphere-S,aug,fishing
4294,4294,08-May-1955,USA,Spearfishing,Hemisphere-N,may,spearfishing
4295,4295,May 1955,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,may,spearfishing
4297,4297,12-Apr-1955,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,apr,spearfishing
4298,4298,Apr-1955,USA,"Fishing from boat, Kaimamla",Hemisphere-N,apr,fishing
4299,4299,09-Mar-1955,AUSTRALIA,Body surfing,Hemisphere-S,mar,surfing
4300,4300,Mar-1955,PAPUA NEW GUINEA,Swimming with speared fish,Hemisphere-S,mar,swimming
4303,4303,06-Feb-1955,USA,Spearfishing,Hemisphere-N,feb,spearfishing
4304,4304,05-Feb-1955,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
4317,4317,11-Dec-1954,AUSTRALIA,Swimming,Hemisphere-S,dec,swimming
4318,4318,09-Dec-1954,PAPUA NEW GUINEA,Swimming near canoe,Hemisphere-S,dec,swimming
4319,4319,04-Dec-1954,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
4320,4320,20-Nov-1954,USA,Spearfishing,Hemisphere-N,nov,spearfishing
4325,4325,21-Sep-1954,USA,Swimming,Hemisphere-N,sep,swimming
4327,4327,04-Sep-1954,AUSTRALIA,"Spearfishing, hunting crayfish",Hemisphere-S,sep,spearfishing
4344,4344,08-Apr-1954,USA,Fishing from shore,Hemisphere-N,apr,fishing
4346,4346,27-Feb-1954,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
4347,4347,30-Jan-1954,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
4348,4348,22-Jan-1954,AUSTRALIA,Spearfishing,Hemisphere-S,jan,spearfishing
4358,4358,30-Dec-1953,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
4359,4359,22-Dec-1953,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
4360,4360,13-Dec-1953,AUSTRALIA,Swimming or wading out  to warn bathers that a shark had been seen,Hemisphere-S,dec,swimming
4370,4370,26-Jul-1953,USA,Spearfishing,Hemisphere-N,jul,spearfishing
4371,4371,16-Jul-1953,USA,Fishing from market fishboat Sea Spray,Hemisphere-N,jul,fishing
4379,4379,04-Apr-1953,USA,Swimming,Hemisphere-N,apr,swimming
4382,4382,Mar-1953,AUSTRALIA,Spearfishing,Hemisphere-S,mar,spearfishing
4387,4387,15-Feb-1953,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
4388,4388,Feb-1953,AUSTRALIA,Spearfishing,Hemisphere-S,feb,spearfishing
4389,4389,20-Jan-1953,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
4390,4390,08-Jan-1953,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
4395,4395,21-Dec-1952,AUSTRALIA,"Fishing, setting nets",Hemisphere-S,dec,fishing
4398,4398,03-Aug-1952,USA,Swimming,Hemisphere-N,aug,swimming
4399,4399,7-Dec-1952,USA,Body surfing & treading water,Hemisphere-N,dec,surfing
4400,4400,03-Dec-1952,USA,Swimming from fishing boat setting nets,Hemisphere-N,dec,swimming
4401,4401,12-Oct-1952,PAPUA NEW GUINEA,Fishing,Hemisphere-S,oct,fishing
4404,4404,27-Jul-1952,USA,Fishing for trout ,Hemisphere-N,jul,fishing
4405,4405,27-Jul-1952,USA,Fishing,Hemisphere-N,jul,fishing
4406,4406,27-Jul-1952,USA,Fishing,Hemisphere-N,jul,fishing
4408,4408,13-Jul-1952,USA,Fishing,Hemisphere-N,jul,fishing
4409,4409,05-Jul-1952,USA,"Spearfishing, carrying fish on spear",Hemisphere-N,jul,spearfishing
4410,4410,27-May-1952,USA,Swimming on surface,Hemisphere-N,may,swimming
4413,4413,06-Apr-1952,AUSTRALIA,Fishing for white sharks,Hemisphere-S,apr,fishing
4417,4417,07-Jan-1952,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
4424,4424,16-Dec-1951,AUSTRALIA,Spearfishing,Hemisphere-S,dec,spearfishing
4427,4427,29-Nov-1951,SOUTH AFRICA,Swimming,Hemisphere-S,nov,swimming
4431,4431,22-Oct-1951,AUSTRALIA,Swimming,Hemisphere-S,oct,swimming
4442,4442,25-Jun-1951,USA,Swept out to sea while fishing,Hemisphere-N,jun,fishing
4447,4447,24-Mar-1951,AUSTRALIA,"Fishing, casting in the surf",Hemisphere-S,mar,fishing
4448,4448,15-Mar-1951,SOUTH AFRICA,Body surfing,Hemisphere-S,mar,surfing
4449,4449,19-Feb-1951,SOUTH AFRICA,Body surfing,Hemisphere-S,feb,surfing
4450,4450,03-Feb-1951,AUSTRALIA,Spearfishing (but treading water on the surface),Hemisphere-S,feb,spearfishing
4451,4451,01-Feb-1951,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
4452,4452,21-Jan-1951,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
4459,4459,25-Nov-1950,AUSTRALIA,Body surfing,Hemisphere-S,nov,surfing
4461,4461,28-Oct-1950,USA,Body surfing / treading water,Hemisphere-N,oct,surfing
4462,4462,04-Oct-1950,AUSTRALIA,Fishing,Hemisphere-S,oct,fishing
4469,4469,10-Jul-1950,USA,Swimming,Hemisphere-N,jul,swimming
4472,4472,25-Jun-1950,USA,Swimming ,Hemisphere-N,jun,swimming
4476,4476,09-Apr-1950,AUSTRALIA,"Sea Disaster, sinking of the fishing  launch Mavis",Hemisphere-S,apr,fishing
4477,4477,09-Apr-1950,SOUTH AFRICA,"Fishing, sitting in stern of small boat, feet dangling in the water",Hemisphere-S,apr,fishing
4482,4482,11-Feb-1950,SOUTH AFRICA,Body surfing,Hemisphere-S,feb,surfing
4483,4483,16-Jan-1950,USA,"Fishing, one of three fishermen swept into the sea by a large wave ",Hemisphere-N,jan,fishing
4502,4502,28-Aug-1949,AUSTRALIA,Swimming,Hemisphere-S,aug,swimming
4503,4503,28-Aug-1949,AUSTRALIA,Swimming,Hemisphere-S,aug,swimming
4505,4505,16-Aug-1949,AUSTRALIA,Swimming near shore,Hemisphere-S,aug,swimming
4510,4510,16-Jul-1949,USA,Fishing,Hemisphere-N,jul,fishing
4512,4512,16-May-1949,AUSTRALIA,Bathing,Hemisphere-S,may,bathing
4514,4514,18-Apr-1949,AUSTRALIA,Fishing,Hemisphere-S,apr,fishing
4515,4515,17-Apr-1949,AUSTRALIA,Bathing in water 0.9 m deep,Hemisphere-S,apr,bathing
4519,4519,14-Jan-1949,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
4529,4529,27-Dec-1948,AUSTRALIA,Swimming,Hemisphere-S,dec,swimming
4533,4533,10-Dec-1948,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
4537,4537,19-Sep-1948,USA,Swimming,Hemisphere-N,sep,swimming
4538,4538,19-Sep-1948,USA,Fishing,Hemisphere-N,sep,fishing
4545,4545,01-Jul-1948,USA,Swimming,Hemisphere-N,jul,swimming
4551,4551,Mar-1948,PAPUA NEW GUINEA,Spearfishing,Hemisphere-S,mar,spearfishing
4553,4553,12-Feb-1948,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
4559,4559,21-Dec-1947,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
4562,4562,23-Nov-1947,AUSTRALIA,Fishing,Hemisphere-S,nov,fishing
4563,4563,14-Nov-1947,AUSTRALIA,Fishing from surf ski,Hemisphere-S,nov,fishing
4564,4564,14-Nov-1947,AUSTRALIA,Fishing from surf ski,Hemisphere-S,nov,fishing
4565,4565,08-Nov-1947,AUSTRALIA,Swimming,Hemisphere-S,nov,swimming
4566,4566,08-Nov-1947,AUSTRALIA,Swimming,Hemisphere-S,nov,swimming
4568,4568,28-Oct-1947,AUSTRALIA,Fishing in waist-deep water,Hemisphere-S,oct,fishing
4570,4570,04-Aug-1947,USA,Swimming,Hemisphere-N,aug,swimming
4573,4573,15-Jul-1947,SOUTH AFRICA,Swimming,Hemisphere-S,jul,swimming
4575,4575,27-Jun-1947,USA,Fishing,Hemisphere-N,jun,fishing
4576,4576,16-Jun-1947,AUSTRALIA,Fishing,Hemisphere-S,jun,fishing
4579,4579,11-Apr-1947,SOUTH AFRICA,Body surfing,Hemisphere-S,apr,surfing
4580,4580,06-Apr-1947,AUSTRALIA,Surfing,Hemisphere-S,apr,surfing
4584,4584,23-Feb-1947,AUSTRALIA,Fishing,Hemisphere-S,feb,fishing
4589,4589,28-Dec-1946,AUSTRALIA,Swimming near jetty with 2' piece of wood,Hemisphere-S,dec,swimming
4593,4593,14-Oct-1946,AUSTRALIA,Swimming,Hemisphere-S,oct,swimming
4595,4595,18-Aug-1946,AUSTRALIA,Swimming after a tennis ball,Hemisphere-S,aug,swimming
4600,4600,19-Apr-1946,AUSTRALIA,Swimming,Hemisphere-S,apr,swimming
4601,4601,Apr-1946,AUSTRALIA,Fishing,Hemisphere-S,apr,fishing
4602,4602,20-Mar-1946,AUSTRALIA,Fishing,Hemisphere-S,mar,fishing
4605,4605,10-Feb-1946,SOUTH AFRICA,Swimming ,Hemisphere-S,feb,swimming
4607,4607,24-Jan-1946,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
4610,4610,05-Jan-1946,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
4611,4611,01-Jan-1946,SOUTH AFRICA,Body surfing,Hemisphere-S,jan,surfing
4623,4623,15-Jun-1945,AUSTRALIA,Swimming,Hemisphere-S,jun,swimming
4624,4624,08-May-1945,USA,Swimming,Hemisphere-N,may,swimming
4632,4632,02-Dec-1944,USA,Fishing for mackerel,Hemisphere-N,dec,fishing
4634,4634,01-Nov-1944,AUSTRALIA,Swimming,Hemisphere-S,nov,swimming
4641,4641,03-Sep-1944,USA,Swimming,Hemisphere-N,sep,swimming
4643,4643,20-Aug-1944,SOUTH AFRICA,Swimming ,Hemisphere-S,aug,swimming
4644,4644,22-Jul-144,SOUTH AFRICA,Swimming,Hemisphere-S,jul,swimming
4646,4646,31-May-1944,USA,Bathing,Hemisphere-N,may,bathing
4655,4655,20-Jan-1944,SOUTH AFRICA,Body surfing,Hemisphere-S,jan,surfing
4656,4656,16-Jan-1944,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
4657,4657,14-Jan-1944,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
4658,4658,04-Jan-1944,SOUTH AFRICA,Swimming,Hemisphere-S,jan,swimming
4664,4664,21-Nov-1943,SOUTH AFRICA,Swimming with board,Hemisphere-S,nov,swimming
4672,4672,16-Jun-1943,AUSTRALIA,Fishing for cod,Hemisphere-S,jun,fishing
4678,4678,5-Apr-1943,USA,"Small boat swamped, 4  people swimming to shore but he fell behind the other 3 and vanished",Hemisphere-N,apr,swimming
4679,4679,21-Mar-1943,SOUTH AFRICA,Swimming,Hemisphere-S,mar,swimming
4692,4692,25-Nov-1942,SOUTH AFRICA,Swimming,Hemisphere-S,nov,swimming
4698,4698,01-Nov-1942,SOUTH AFRICA,Swimming ,Hemisphere-S,nov,swimming
4718,4718,04-Jan-1942,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
4732,4732,03-Dec-1941,AUSTRALIA,Swimming,Hemisphere-S,dec,swimming
4739,4739,05-Aug-1941,AUSTRALIA,Swimming,Hemisphere-S,aug,swimming
4740,4740,01-Aug-1941,USA,Swimming at edge of channel,Hemisphere-N,aug,swimming
4741,4741,22-Jul-1941,USA,Fishing for tuna,Hemisphere-N,jul,fishing
4742,4742,01-Jul-1941,USA,Fishing,Hemisphere-N,jul,fishing
4743,4743,15-Jun-1941,USA,Fishing from 32' boat,Hemisphere-N,jun,fishing
4746,4746,09-Mar-1941,USA,Fishing,Hemisphere-N,mar,fishing
4747,4747,13-Feb-1941,AUSTRALIA,Fishing,Hemisphere-S,feb,fishing
4759,4759,20-Dec-1940,SOUTH AFRICA,Swimming,Hemisphere-S,dec,swimming
4765,4765,30-Jun-1940,USA,Fishing,Hemisphere-N,jun,fishing
4768,4768,22-Feb-1940,SOUTH AFRICA,Swimming,Hemisphere-S,feb,swimming
4772,4772,23-Jan-1940,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
4773,4773,15-Jan-1940,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
4774,4774,07-Jan-1940,SOUTH AFRICA,Swimming ,Hemisphere-S,jan,swimming
4782,4782,28-Dec-1939,AUSTRALIA,Swimming,Hemisphere-S,dec,swimming
4783,4783,14-Dec-1939,AUSTRALIA,Swimming ,Hemisphere-S,dec,swimming
4790,4790,04-Oct-1939,USA,Spearfishing & had just speared a ulua,Hemisphere-N,oct,spearfishing
4792,4792,01-Aug-1939,USA,Fishing,Hemisphere-N,aug,fishing
4800,4800,26-Feb-1939,NEW ZEALAND,Fishing,Hemisphere-S,feb,fishing
4807,4807,27-Dec-1938,AUSTRALIA,Swimming,Hemisphere-S,dec,swimming
4808,4808,05-Oct-1938,AUSTRALIA,Fishing,Hemisphere-S,oct,fishing
4810,4810,18-Aug-1938,USA,Fishing,Hemisphere-N,aug,fishing
4811,4811,18-Jul-1938,USA,Swimming,Hemisphere-N,jul,swimming
4813,4813,17-Jul-1938,USA,"Fishing, removing gaff from shark's mouth",Hemisphere-N,jul,fishing
4822,4822,21-Jan-1938,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
4834,4834,27-Oct-1937,AUSTRALIA,Swimming ,Hemisphere-S,oct,swimming
4835,4835,27-Oct-1937,AUSTRALIA,Swimming ,Hemisphere-S,oct,swimming
4836,4836,24-Oct-1937,AUSTRALIA,Swimming near jetty,Hemisphere-S,oct,swimming
4848,4848,15-Jun-1937,AUSTRALIA,"Fishing from launch, fell into net with shark",Hemisphere-S,jun,fishing
4849,4849,15-Jun-1937,USA,Swimming,Hemisphere-N,jun,swimming
4850,4850,30-May-1937,USA,Fishing,Hemisphere-N,may,fishing
4851,4851,15-May-1937,AUSTRALIA,"Refused permission to cross on the ferry, he was swimming across the river",Hemisphere-S,may,swimming
4852,4852,26-Mar-1937,AUSTRALIA,Bathing,Hemisphere-S,mar,bathing
4853,4853,09-Mar-1937,AUSTRALIA,Swimming,Hemisphere-S,mar,swimming
4854,4854,13-Feb-1937,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
4855,4855,11-Feb-1937,AUSTRALIA,Swimming ashore after launch capsized,Hemisphere-S,feb,swimming
4856,4856,04-Feb-1937,AUSTRALIA,Fishing,Hemisphere-S,feb,fishing
4857,4857,03-Feb-1937,AUSTRALIA,Fishing,Hemisphere-S,feb,fishing
4863,4863,15-Dec-1936,AUSTRALIA,Fishing for the shark that killed George Lundberg,Hemisphere-S,dec,fishing
4864,4864,12-Dec-1936,AUSTRALIA,Swimming,Hemisphere-S,dec,swimming
4865,4865,01-Dec-1936,AUSTRALIA,Fishing,Hemisphere-S,dec,fishing
4866,4866,27-Nov-1936,AUSTRALIA,Spearfishing ,Hemisphere-S,nov,spearfishing
4868,4868,04-Sep-1936,USA,Swimming,Hemisphere-N,sep,swimming
4873,4873,Aug-1936,USA,Fishing,Hemisphere-N,aug,fishing
4874,4874,25-Jul-1936,USA,Swimming crawl stroke,Hemisphere-N,jul,swimming
4875,4875,12-Jul-1936,USA,Fishing for bluefish,Hemisphere-N,jul,fishing
4877,4877,Jul-1936,SOUTH AFRICA,"Fishing, catching snoek, Thyrsites atun",Hemisphere-S,jul,fishing
4878,4878,26-Jun-1936,AUSTRALIA,"Diving for trochus , but swimming on surface",Hemisphere-S,jun,swimming
4879,4879,06-Jun-1936,USA,Swimming,Hemisphere-N,jun,swimming
4882,4882,30-Mar-1936,USA,Fishing,Hemisphere-N,mar,fishing
4888,4888,04-Feb-1936,AUSTRALIA,Swimming,Hemisphere-S,feb,swimming
4889,4889,22-Jan-1936,AUSTRALIA,"Swimming. Passer-by, Len Bedford, heard him shriek , saw shark leap from the water & swimmer disappeared",Hemisphere-S,jan,swimming
4890,4890,05-Jan-1936,AUSTRALIA,Surfing,Hemisphere-S,jan,surfing
4895,4895,21-Sep-1935,USA,Swimming,Hemisphere-N,sep,swimming
4900,4900,27-Jul-1935,USA,fishing boat exploded & sank,Hemisphere-N,jul,fishing
4901,4901,27-Jul-1935,USA,fishing boat exploded & sank,Hemisphere-N,jul,fishing
4904,4904,18-Jun-1935,USA,"Fishing for bluefish, shark leapt into dory",Hemisphere-N,jun,fishing
4917,4917,11-Mar-1935,AUSTRALIA,Surfing,Hemisphere-S,mar,surfing
4918,4918,09-Mar-1935,AUSTRALIA,Swimming,Hemisphere-S,mar,swimming
4920,4920,14-Feb-1935,AUSTRALIA,Surfing (pneumatic surfboard),Hemisphere-S,feb,surfing
4921,4921,24-Jan-1935,AUSTRALIA,Fishing,Hemisphere-S,jan,fishing
4922,4922,24-Jan-1935,AUSTRALIA,Fishing for sharks,Hemisphere-S,jan,fishing
4926,4926,31-Dec-1934,AUSTRALIA,Swimming (lead swimmer in race),Hemisphere-S,dec,swimming
4928,4928,23-Oct-1934,AUSTRALIA,Swimming & splashing,Hemisphere-S,oct,swimming
4929,4929,09-Oct-1934,AUSTRALIA,Bathing,Hemisphere-S,oct,bathing
4937,4937,05-Aug-1934,USA,Swimming,Hemisphere-N,aug,swimming
4938,4938,11-Jul-1934,AUSTRALIA,Fishing,Hemisphere-S,jul,fishing
4939,4939,21-Jun-1934,AUSTRALIA,Fishing,Hemisphere-S,jun,fishing
4941,4941,15-Apr-1934,AUSTRALIA,Body surfing,Hemisphere-S,apr,surfing
4942,4942,01-Apr-1934,SOUTH AFRICA,Swimming,Hemisphere-S,apr,swimming
4943,4943,01-Apr-1934,SOUTH AFRICA,Swimming ,Hemisphere-S,apr,swimming
4944,4944,01-Apr-1934,AUSTRALIA,Swimming in waist-deep water ,Hemisphere-S,apr,swimming
4945,4945,12-Mar-1934,AUSTRALIA,Swimming in hip-deep water,Hemisphere-S,mar,swimming
4946,4946,Mar-1934,AUSTRALIA,Fishing ,Hemisphere-S,mar,fishing
4950,4950,27-Jan-1934,AUSTRALIA,Swimming outside the safety enclosure attempting to retrieve a tennis ball drifting toward midstream ,Hemisphere-S,jan,swimming
4951,4951,07-Jan-1934,AUSTRALIA,Swimming on sandbar adjacent to channel,Hemisphere-S,jan,swimming
4956,4956,28-Aug-1933,USA,"Fishing, caught a 15' shark & took it onboard",Hemisphere-N,aug,fishing
4957,4957,28-Aug-1933,USA,Bathing,Hemisphere-N,aug,bathing
4963,4963,13-Jun-1933,AUSTRALIA,Fishing,Hemisphere-S,jun,fishing
4965,4965,23-May-1933,AUSTRALIA,Fishing,Hemisphere-S,may,fishing
4968,4968,10-Apr-1933,USA,Swimming,Hemisphere-N,apr,swimming
4972,4972,12-Feb-1933,AUSTRALIA,Fishing,Hemisphere-S,feb,fishing
4973,4973,04-Jan-1933,AUSTRALIA,Swimming,Hemisphere-S,jan,swimming
4977,4977,31-Oct-1932,AUSTRALIA,Swimming,Hemisphere-S,oct,swimming
4982,4982,10-Aug-1932,USA,Fishing,Hemisphere-N,aug,fishing
4987,4987,28-Jun-1932,USA,Fishing,Hemisphere-N,jun,fishing
4988,4988,26-Jun-1932,USA,Fishing,Hemisphere-N,jun,fishing
